title,summary
Front-End Developer and Graphic Designer,"
Experience with UX, usability, and information architecture a plus. The Front-End Developer and Graphic Designer will primarily be responsible for creating..."
UX Architect/Designer,"
UX:. Leverage existing UX patterns and style guides. Ability to do User research, identify User persona’s and create customer journey maps will be added..."
Experience Labs Intern,"
Our team includes experienced startup entrepreneurs, prototypers, engineers, UX and visual designers, and Havas consultants, and is focused on creating a set of..."
UX Designer @ Tech Start-up in Downtown NYC,"
They are looking for a UX Designer to come in and improve the entire UX, as well as re-evaluate their UI to make sure it is in line with user needs...."
UX Designer - Device and Services Design Group- Relocation Opportunity,"Min 6+ years of experience as an UX designer, researcher, or similar role. The UX designer has a deep understanding of HCI practices, UX concept validation and..."
Freelance Front-End UX Designer (4-6 week CONTRACT ROLE),"Front-End UX Designer*. Web UX Design:. As a Freelance UX Designer, you will be responsible for designing, developing and implementing a cross-browser and cross..."
"User Experience, UX Designer, Analyst/Associate","
2-4 years of experience in UX / UI design. You will help build a living style guide to communicate the design system across PWM, and be a key contact in..."
Lead Product Designer,"
A brilliant, battle-hardened Product Designer with coding and UX experience to lead our NYC. Who we are looking for:...."
Director of Design Research,"
And will collaborate closely with a team of elite UX designers. Ability to build internal relationships with UX designers, product managers, content experts,..."
"Senior UX Designer, Purch B2C","
The Purch B2C division seeks an enthusiastic Senior UX Designer who wants to build products that help shoppers research and select the best product for them...."
Senior Interaction Designer,"
Senior Interaction Designer @ Fjord. Develop sound UX concepts, including the definition of customer needs, task analysis, and the creation of personas,..."
UX/UI Design Lead,"
Translate business and functional requirement into creative UX design solutions with an emphasis on task automation, project management and creative asset..."
Product Designer,"
In addition to delivering products, this designer will work alongside the product team and fellow designer to foster a strong design culture across the..."
Digital Content Designer - Calvin Klein,"
Digital Content Designer - Calvin Klein. Translate UX specifications and business requirements into clean, simple design...."
Prototyper,"
Primary Location: United States,New York,Long Island City Education: Bachelor's Degree Job Function: Marketing Schedule: Full-time Shift: Day Job Employee"
UI/UX Designer,"
LiftForward is currently looking for a talented product designer. You'll be working on everything ranging from our web app to mobile app to marketing collateral..."
Mid to Senior Product UI / UX Designer,"UX:. Minimum 2 years of UX or you’re really good. As a Momentum Design Lab Product UI/UX Designer, you’ll ensure the work we produce is effective and..."
